StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,SBMS_1,SBMS_2,SBMS_3,SBMS_4,SBMS_5,SBMS_6,SBMS_7,SBMS_8,SBMS_9,SBMS_10,SBMS_11,SBMS_12,SBMS_13,SBMS_14,SBMS_15,SBMS_16,SBMS_17,SBMS_18,SBMS_19,SBMS_20,SBMS_21,SBMS_22,SBMS_23,SBMS_24,SBMS_25,SBMS_26,SBMS_27,SBMS_28,SBMS_29,SBMS_30,SBMS_31,SBMS_32,DOSPERT_1,DOSPERT_2,DOSPERT_3,DOSPERT_4,DOSPERT_5,DOSPERT_6,BNT1,BNT2,BNT3,BNT4,CRT1,CRT2,CRT3,BIS_Short_1,BIS_Short_2,BIS_Short_3,BIS_Short_4,BIS_Short_5,BIS_Short_6,BIS_Short_7,BIS_Short_8,BIS_Short_9,BIS_Short_10,BIS_Short_11,BIS_Short_12,BIS_Short_13,ATGS_1,ATGS_2,ATGS_3,ATGS_4,ATGS_5,ATGS_6,ATGS_7,ATGS_8,Recency,Frequency,Typical Bet,Type,Age,Race/Ethnicity,Gender,id
3/24/25 19:10,3/24/25 19:14,0,207.151.52.216,100,239,1,3/24/25 19:14,R_7rurtcwre1lBhC2,,,,,34.0322,-118.2836,anonymous,EN,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,30,0.8,60,0.5,10,100,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,0,0,0,5,19,4,1,33193
3/24/25 19:14,3/24/25 19:17,0,207.151.52.216,100,161,1,3/24/25 19:17,R_3WJ4Li5tFfyIFzm,,,,,34.0322,-118.2836,anonymous,EN,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,30,0.8,60,0.5,10,100,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,0,0,0,1,19,4,1,%SURVEY_CODE%
3/24/25 19:17,3/24/25 19:19,0,207.151.52.216,100,102,1,3/24/25 19:19,R_5ESYcqhuDcMjaCr,,,,,34.0322,-118.2836,anonymous,EN,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,30,0.8,60,0.5,10,100,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,0,1,100,3,19,4,1,%SURVEY_CODE%
3/24/25 20:57,3/24/25 21:04,0,104.32.128.192,100,408,1,3/24/25 21:04,R_6TFgvH3ClTMSwTx,,,,,34.0068,-118.2562,anonymous,EN,1,1,3,5,4,2,6,4,5,2,4,1,1,3,6,6,6,4,4,1,6,4,6,5,6,5,1,5,4,4,5,6,6,3,4,3,7,3,5,25,0.25,20,0.5,5,5,47,3,2,3,3,2,2,3,2,2,2,2,3,1,3,3,3,2,2,2,3,2,45,0.25,50,4,21,9,2,33518
3/24/25 21:04,3/24/25 21:08,0,104.32.128.192,100,261,1,3/24/25 21:08,R_3jfiwWSjPxxxBHG,,,,,34.0068,-118.2562,anonymous,EN,1,5,4,4,4,5,3,3,4,5,3,4,3,6,3,3,5,3,4,5,4,3,4,3,4,4,4,4,3,6,5,5,3,3,4,4,5,5,4,30,0.25,20,0.6,2,15,5,1,3,2,3,1,3,2,3,3,2,3,2,3,4,3,3,3,3,3,3,4,45,0.25,50,4,21,9,2,%SURVEY_CODE%
3/24/25 22:10,3/24/25 22:19,0,207.151.52.105,100,508,1,3/24/25 22:19,R_1JtCpMMXActtiCJ,,,,,34.0322,-118.2836,anonymous,EN,1,1,1,1,1,1,5,1,1,1,6,1,1,1,1,6,6,1,6,1,1,1,1,2,4,1,3,1,4,1,1,4,1,1,1,1,1,1,1,30,0.25,20,0.5,10,100,47,3,2,1,2,1,2,2,2,2,2,1,4,4,5,3,2,3,4,1,3,2,100,0,10,1,20,9,2,32108
3/24/25 22:12,3/24/25 22:31,0,216.171.51.237,100,1146,1,3/24/25 22:31,R_5dGECFwYHBHkVy9,,,,,34.0322,-118.2836,anonymous,EN,1,1,1,4,4,1,5,1,2,1,5,1,2,1,1,4,5,1,2,1,5,4,2,2,4,4,3,4,3,1,2,1,1,1,6,1,2,2,5,30,0.4,20,0.08,50,5,47,2,4,3,3,4,1,2,2,2,4,4,3,4,1,2,4,3,4,3,3,4,100,0.01,30,2,21,3,1,32773
3/24/25 22:14,3/24/25 23:12,0,107.198.0.219,100,3479,1,3/24/25 23:12,R_5CQfWOZMO3YMXgk,,,,,34.0313,-118.3124,anonymous,EN,1,2,2,2,2,2,4,2,2,2,5,2,2,2,5,5,3,5,5,2,5,2,2,2,5,2,2,2,2,2,5,5,2,1,2,2,2,1,3,30,0.25,10,0.2,10,100,24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,4,2,2,4,100,0,0,1,21,8,2,28955
3/25/25 9:24,3/25/25 9:44,0,207.151.52.152,100,1178,1,3/25/25 9:44,R_3xdEfT9XvtL3nrP,,,,,34.0322,-118.2836,anonymous,EN,1,1,1,1,2,3,4,4,2,1,5,1,2,2,5,5,5,3,5,1,2,1,2,4,3,1,5,3,5,2,3,1,2,1,1,1,1,1,1,5,0.5,12,0.5,110,100,24,2,4,3,3,3,1,1,1,1,4,4,3,4,5,4,3,3,5,4,4,2,0,0,5,1,20,1,2,33137
3/25/25 9:44,3/25/25 9:48,0,207.151.52.152,100,268,1,3/25/25 9:48,R_3osEF86iB26EDbH,,,,,34.0322,-118.2836,anonymous,EN,1,2,1,4,2,4,3,4,3,1,5,1,2,2,4,5,2,3,4,2,4,1,1,2,3,2,5,4,4,3,4,3,2,1,1,1,1,1,1,5,0.5,12,0.5,110,100,24,2,4,3,4,4,2,1,1,1,3,4,3,4,4,3,2,3,4,4,4,1,0,0,5,1,20,1,2,%SURVEY_CODE%
